
> localhub@0.1.0 dev
> next dev

▲ Next.js 16.2.10 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://192.168.1.5:3000
- Environments: .env.local
✓ Ready in 331ms

 GET /login 200 in 447ms (next.js: 167ms, proxy.ts: 73ms, application-code: 208ms)
 GET / 200 in 914ms (next.js: 47ms, proxy.ts: 6ms, application-code: 861ms)
 GET / 200 in 355ms (next.js: 4ms, proxy.ts: 7ms, application-code: 344ms)
 POST /api/search 200 in 937ms (next.js: 81ms, proxy.ts: 9ms, application-code: 848ms)
 GET / 200 in 448ms (next.js: 4ms, proxy.ts: 4ms, application-code: 440ms)
✓ Compiled in 483ms
 GET / 200 in 740ms (next.js: 173ms, proxy.ts: 74ms, application-code: 493ms)
 GET / 200 in 220ms (next.js: 4ms, proxy.ts: 7ms, application-code: 208ms)
 GET / 200 in 313ms (next.js: 4ms, proxy.ts: 4ms, application-code: 305ms)
 GET / 200 in 498ms (next.js: 3ms, proxy.ts: 4ms, application-code: 492ms)
 GET / 200 in 273ms (next.js: 5ms, proxy.ts: 6ms, application-code: 262ms)
 GET / 200 in 340ms (next.js: 6ms, proxy.ts: 6ms, application-code: 328ms)
 GET / 200 in 180ms (next.js: 5ms, proxy.ts: 4ms, application-code: 171ms)
 GET / 200 in 229ms (next.js: 3ms, proxy.ts: 4ms, application-code: 221ms)
 GET / 200 in 276ms (next.js: 3ms, proxy.ts: 4ms, application-code: 269ms)
 GET / 200 in 239ms (next.js: 3ms, proxy.ts: 4ms, application-code: 232ms)
 GET / 200 in 330ms (next.js: 3ms, proxy.ts: 5ms, application-code: 322ms)
 GET / 200 in 190ms (next.js: 8ms, proxy.ts: 5ms, application-code: 178ms)
 GET / 200 in 181ms (next.js: 3ms, proxy.ts: 3ms, application-code: 174ms)
 GET / 200 in 369ms (next.js: 8ms, proxy.ts: 7ms, application-code: 354ms)
 GET / 200 in 268ms (next.js: 4ms, proxy.ts: 3ms, application-code: 261ms)
 GET / 200 in 294ms (next.js: 3ms, proxy.ts: 3ms, application-code: 288ms)
